UTC,Open,High,Low,Close,Volume
01.01.2025 22:00:00.000 UTC,1.03503,1.03577,1.03483,1.0355,1424.05
01.01.2025 23:00:00.000 UTC,1.0355,1.03563,1.03462,1.03516,4299.22
02.01.2025 00:00:00.000 UTC,1.03508,1.03564,1.03472,1.0352,3681.37
02.01.2025 01:00:00.000 UTC,1.03521,1.03606,1.03442,1.03578,5012.45
02.01.2025 02:00:00.000 UTC,1.03577,1.03712,1.03577,1.03709,2791.47
02.01.2025 03:00:00.000 UTC,1.03711,1.0374,1.03682,1.03715,2841.43
02.01.2025 04:00:00.000 UTC,1.03716,1.03756,1.03664,1.03692,3258.29
02.01.2025 05:00:00.000 UTC,1.03693,1.03706,1.03617,1.03638,3270.95
02.01.2025 06:00:00.000 UTC,1.03637,1.0365,1.03599,1.03637,4088.88
02.01.2025 07:00:00.000 UTC,1.03637,1.03723,1.03623,1.03627,7887.04
02.01.2025 08:00:00.000 UTC,1.03628,1.03709,1.03461,1.03627,10541.26
02.01.2025 09:00:00.000 UTC,1.03626,1.03701,1.03493,1.03515,8305.82
02.01.2025 10:00:00.000 UTC,1.03514,1.03568,1.03135,1.03168,11754.01
02.01.2025 11:00:00.000 UTC,1.03166,1.0334,1.0315,1.03321,8416.75
02.01.2025 12:00:00.000 UTC,1.03321,1.03342,1.03148,1.03182,7464.61
02.01.2025 13:00:00.000 UTC,1.03181,1.03296,1.03112,1.03133,13737.75
02.01.2025 14:00:00.000 UTC,1.03134,1.03239,1.03021,1.03038,21387.24
02.01.2025 15:00:00.000 UTC,1.03037,1.03087,1.02725,1.02741,37011.21
02.01.2025 16:00:00.000 UTC,1.0274,1.02762,1.02237,1.02611,30637.33
02.01.2025 17:00:00.000 UTC,1.02611,1.02679,1.02513,1.02648,9298.48
02.01.2025 18:00:00.000 UTC,1.02651,1.02662,1.02557,1.02563,5043.25
02.01.2025 19:00:00.000 UTC,1.02563,1.02595,1.02477,1.0251,4391.68
02.01.2025 20:00:00.000 UTC,1.02511,1.02645,1.02506,1.02613,3247.97
02.01.2025 21:00:00.000 UTC,1.02613,1.02687,1.02612,1.0264,1650.76
02.01.2025 22:00:00.000 UTC,1.0264,1.02666,1.02612,1.02651,2020.85
02.01.2025 23:00:00.000 UTC,1.0265,1.0268,1.02646,1.02678,1484.13
03.01.2025 00:00:00.000 UTC,1.02679,1.02734,1.02659,1.02729,1831.17
03.01.2025 01:00:00.000 UTC,1.02728,1.02728,1.02665,1.02674,2175.54
03.01.2025 02:00:00.000 UTC,1.02674,1.02745,1.02668,1.02722,2348.2
03.01.2025 03:00:00.000 UTC,1.02723,1.02743,1.02687,1.02707,1720.3
03.01.2025 04:00:00.000 UTC,1.02706,1.02709,1.0267,1.02695,1501.11
03.01.2025 05:00:00.000 UTC,1.02696,1.02736,1.02646,1.02717,1851.39
03.01.2025 06:00:00.000 UTC,1.02717,1.02793,1.02715,1.0279,1726.77
03.01.2025 07:00:00.000 UTC,1.0279,1.02847,1.02687,1.02807,7476.3
03.01.2025 08:00:00.000 UTC,1.02806,1.0288,1.02729,1.02803,8555.53
03.01.2025 09:00:00.000 UTC,1.02803,1.02999,1.02802,1.02901,14081.7
03.01.2025 10:00:00.000 UTC,1.02901,1.02938,1.02791,1.02813,9738.99
03.01.2025 11:00:00.000 UTC,1.02813,1.03028,1.02813,1.02972,5904.87
03.01.2025 12:00:00.000 UTC,1.02971,1.03009,1.02942,1.02956,7084.08
03.01.2025 13:00:00.000 UTC,1.02958,1.03001,1.02915,1.02931,8744.24
03.01.2025 14:00:00.000 UTC,1.02931,1.03023,1.0288,1.03002,9042.24
03.01.2025 15:00:00.000 UTC,1.03001,1.03057,1.02729,1.02891,16277.81
03.01.2025 16:00:00.000 UTC,1.02891,1.02997,1.02835,1.02907,6981.54
03.01.2025 17:00:00.000 UTC,1.02908,1.03057,1.02908,1.02979,7008.82
03.01.2025 18:00:00.000 UTC,1.02979,1.03021,1.02924,1.02973,7054.63
03.01.2025 19:00:00.000 UTC,1.02971,1.03059,1.02937,1.03012,2719.23
03.01.2025 20:00:00.000 UTC,1.03011,1.03075,1.02987,1.03059,2875.47
03.01.2025 21:00:00.000 UTC,1.03058,1.03099,1.03047,1.03066,2169.95
05.01.2025 22:00:00.000 UTC,1.03015,1.03062,1.02932,1.03009,943.34
05.01.2025 23:00:00.000 UTC,1.03009,1.0308,1.03009,1.03051,1317.5
06.01.2025 00:00:00.000 UTC,1.03051,1.03053,1.02955,1.03031,3089.95
06.01.2025 01:00:00.000 UTC,1.03031,1.03136,1.03012,1.03123,3216.42
06.01.2025 02:00:00.000 UTC,1.03123,1.03177,1.03107,1.0316,2911.94
06.01.2025 03:00:00.000 UTC,1.0316,1.03182,1.0313,1.03163,1958.95
06.01.2025 04:00:00.000 UTC,1.03162,1.03175,1.03128,1.03151,1553.36
06.01.2025 05:00:00.000 UTC,1.03151,1.03181,1.03084,1.03088,2980.83
06.01.2025 06:00:00.000 UTC,1.03087,1.03165,1.03076,1.03125,3476.02
06.01.2025 07:00:00.000 UTC,1.03127,1.03284,1.03099,1.03272,5211.63
06.01.2025 08:00:00.000 UTC,1.03274,1.03525,1.03267,1.035,10591.84
06.01.2025 09:00:00.000 UTC,1.03499,1.03688,1.03401,1.03554,12552.32
06.01.2025 10:00:00.000 UTC,1.03556,1.0358,1.0335,1.0335,6599.88
06.01.2025 11:00:00.000 UTC,1.03349,1.04325,1.03287,1.04217,27467.57
06.01.2025 12:00:00.000 UTC,1.04218,1.04305,1.0392,1.04108,15153.59
06.01.2025 13:00:00.000 UTC,1.04112,1.04367,1.04043,1.04167,16759.99
06.01.2025 14:00:00.000 UTC,1.04168,1.04237,1.03527,1.03925,39136.05
06.01.2025 15:00:00.000 UTC,1.03925,1.03987,1.03712,1.03935,31925.13
06.01.2025 16:00:00.000 UTC,1.03936,1.04027,1.03854,1.03967,20431.35
06.01.2025 17:00:00.000 UTC,1.03968,1.03968,1.03793,1.03873,15087.25
06.01.2025 18:00:00.000 UTC,1.03873,1.03892,1.0377,1.03818,5131.56
06.01.2025 19:00:00.000 UTC,1.03819,1.03917,1.03788,1.03882,4898.73
06.01.2025 20:00:00.000 UTC,1.03883,1.03919,1.03859,1.03877,3984.57
06.01.2025 21:00:00.000 UTC,1.03879,1.03921,1.0386,1.03895,2118.4
06.01.2025 22:00:00.000 UTC,1.03893,1.03909,1.0385,1.0389,1152.07
