UTC,Open,High,Low,Close,Volume
01.12.2024 22:00:00.000 UTC,1.05711,1.05733,1.05604,1.05608,2588.97
01.12.2024 23:00:00.000 UTC,1.0561,1.05661,1.05336,1.05439,8832.06
02.12.2024 00:00:00.000 UTC,1.05439,1.05463,1.05313,1.05362,11013.55
02.12.2024 01:00:00.000 UTC,1.05361,1.05391,1.05279,1.05305,12731.6
02.12.2024 02:00:00.000 UTC,1.05304,1.05319,1.052,1.05253,13799.38
02.12.2024 03:00:00.000 UTC,1.05254,1.05269,1.052,1.05235,10107.38
02.12.2024 04:00:00.000 UTC,1.05235,1.0529,1.05189,1.05233,6484.98
02.12.2024 05:00:00.000 UTC,1.05233,1.05282,1.05151,1.05219,10821.43
02.12.2024 06:00:00.000 UTC,1.05218,1.05361,1.05213,1.05328,14794.2
02.12.2024 07:00:00.000 UTC,1.0533,1.0537,1.05018,1.05027,32697.99
02.12.2024 08:00:00.000 UTC,1.05027,1.05124,1.04959,1.0502,32806.78
02.12.2024 09:00:00.000 UTC,1.05019,1.05191,1.05019,1.05135,21782.43
02.12.2024 10:00:00.000 UTC,1.05133,1.05239,1.05062,1.05217,21545.86
02.12.2024 11:00:00.000 UTC,1.05216,1.05288,1.05202,1.05229,12583.76
02.12.2024 12:00:00.000 UTC,1.05229,1.05382,1.0495,1.05009,23611.21
02.12.2024 13:00:00.000 UTC,1.05008,1.05142,1.04961,1.05056,27803.39
02.12.2024 14:00:00.000 UTC,1.05057,1.05147,1.04724,1.04737,35052.07
02.12.2024 15:00:00.000 UTC,1.04735,1.04808,1.0462,1.0469,42060.51
02.12.2024 16:00:00.000 UTC,1.04691,1.04977,1.04607,1.04835,32167.72
02.12.2024 17:00:00.000 UTC,1.04836,1.04989,1.048,1.04874,15094.37
02.12.2024 18:00:00.000 UTC,1.04875,1.04931,1.04845,1.04897,11964.45
02.12.2024 19:00:00.000 UTC,1.04897,1.04942,1.04873,1.04903,11116.17
02.12.2024 20:00:00.000 UTC,1.04902,1.05158,1.04887,1.04999,23793.4
02.12.2024 21:00:00.000 UTC,1.04999,1.05029,1.04969,1.04971,3703.2
02.12.2024 22:00:00.000 UTC,1.04966,1.05004,1.04934,1.04963,878.71
02.12.2024 23:00:00.000 UTC,1.04962,1.05017,1.04962,1.05008,3916.73
03.12.2024 00:00:00.000 UTC,1.05008,1.05014,1.04887,1.04912,11688.39
03.12.2024 01:00:00.000 UTC,1.04913,1.04971,1.04842,1.04878,17286.18
03.12.2024 02:00:00.000 UTC,1.04878,1.04921,1.04823,1.04893,13110.43
03.12.2024 03:00:00.000 UTC,1.04892,1.04944,1.04869,1.04903,10153.89
03.12.2024 04:00:00.000 UTC,1.04903,1.04912,1.04843,1.04853,7384.39
03.12.2024 05:00:00.000 UTC,1.04854,1.04924,1.04807,1.04914,8125.28
03.12.2024 06:00:00.000 UTC,1.04915,1.04946,1.04834,1.04878,10312.94
03.12.2024 07:00:00.000 UTC,1.04878,1.05115,1.04863,1.0498,18411.68
03.12.2024 08:00:00.000 UTC,1.04981,1.05278,1.04972,1.05252,31003.13
03.12.2024 09:00:00.000 UTC,1.05253,1.05307,1.05163,1.05204,22338.05
03.12.2024 10:00:00.000 UTC,1.05203,1.05298,1.0512,1.05146,10821.95
03.12.2024 11:00:00.000 UTC,1.05146,1.05273,1.05137,1.05226,15781.04
03.12.2024 12:00:00.000 UTC,1.05225,1.05244,1.05071,1.05075,18360.21
03.12.2024 13:00:00.000 UTC,1.05076,1.05269,1.05062,1.05239,16705.85
03.12.2024 14:00:00.000 UTC,1.05241,1.0529,1.0517,1.05194,27690.06
03.12.2024 15:00:00.000 UTC,1.05194,1.05194,1.0492,1.05166,33544.37
03.12.2024 16:00:00.000 UTC,1.05165,1.05194,1.05031,1.05175,22649.55
03.12.2024 17:00:00.000 UTC,1.05175,1.05303,1.05083,1.05284,18054.98
