UTC,Open,High,Low,Close,Volume
01.03.2026 22:00:00.000 UTC,1.17751,1.17774,1.1757,1.17756,1239.93
01.03.2026 23:00:00.000 UTC,1.17755,1.17876,1.17568,1.1759,8428.66
02.03.2026 00:00:00.000 UTC,1.1759,1.1778,1.17559,1.17774,6972.8
02.03.2026 01:00:00.000 UTC,1.17772,1.17942,1.1775,1.17919,6878.19
02.03.2026 02:00:00.000 UTC,1.17917,1.17934,1.17808,1.17886,3874.79
02.03.2026 03:00:00.000 UTC,1.17887,1.17958,1.17882,1.17886,2466.59
02.03.2026 04:00:00.000 UTC,1.17888,1.17901,1.17816,1.17863,2189.94
02.03.2026 05:00:00.000 UTC,1.17863,1.17863,1.17659,1.1766,3656.44
02.03.2026 06:00:00.000 UTC,1.17661,1.17664,1.173,1.17321,9028.77
02.03.2026 07:00:00.000 UTC,1.17321,1.17341,1.17034,1.17161,11421.5
02.03.2026 08:00:00.000 UTC,1.17161,1.17237,1.1698,1.17223,10224.29
02.03.2026 09:00:00.000 UTC,1.17222,1.17435,1.1721,1.17329,8133.3
02.03.2026 10:00:00.000 UTC,1.17328,1.17472,1.17328,1.17385,6165.78
02.03.2026 11:00:00.000 UTC,1.17384,1.17411,1.17261,1.17331,5363.81
02.03.2026 12:00:00.000 UTC,1.1733,1.17338,1.17019,1.17036,8465.4
02.03.2026 13:00:00.000 UTC,1.17041,1.17182,1.16953,1.16983,10976.37
02.03.2026 14:00:00.000 UTC,1.16983,1.17237,1.16949,1.17167,13594.23
02.03.2026 15:00:00.000 UTC,1.17166,1.17166,1.16797,1.16799,13013.43
02.03.2026 16:00:00.000 UTC,1.168,1.16942,1.16717,1.16894,11600.19
02.03.2026 17:00:00.000 UTC,1.16896,1.17077,1.16866,1.1707,7885.55
02.03.2026 18:00:00.000 UTC,1.17071,1.17072,1.16867,1.16945,7049.85
02.03.2026 19:00:00.000 UTC,1.16944,1.17134,1.16939,1.17111,6267.79
02.03.2026 20:00:00.000 UTC,1.17112,1.17131,1.16784,1.169,10394.94
02.03.2026 21:00:00.000 UTC,1.169,1.16951,1.1687,1.1687,1857.21
02.03.2026 22:00:00.000 UTC,1.16863,1.16907,1.16818,1.16852,747.35
02.03.2026 23:00:00.000 UTC,1.16852,1.1698,1.16852,1.16944,1550.22
03.03.2026 00:00:00.000 UTC,1.16945,1.16956,1.16862,1.16951,3287.97
03.03.2026 01:00:00.000 UTC,1.16952,1.17067,1.16921,1.16969,5976.01
03.03.2026 02:00:00.000 UTC,1.16883,1.16989,1.16858,1.16939,6146.61
03.03.2026 03:00:00.000 UTC,1.16943,1.16975,1.16863,1.16902,3009.87
03.03.2026 04:00:00.000 UTC,1.16902,1.16935,1.16791,1.16809,3378.28
03.03.2026 05:00:00.000 UTC,1.1681,1.16848,1.16649,1.16665,5948.18
