UTC,Open,High,Low,Close,Volume
01.10.2024 08:00:00.000 UTC,1.11153,1.11201,1.10981,1.11026,11289.42
01.10.2024 09:00:00.000 UTC,1.11026,1.11145,1.1092,1.1095,9501.52
01.10.2024 10:00:00.000 UTC,1.10949,1.10976,1.10839,1.10869,13671.34
01.10.2024 11:00:00.000 UTC,1.1087,1.10998,1.10785,1.10845,21860.05
01.10.2024 12:00:00.000 UTC,1.10845,1.10886,1.10702,1.10711,28594.53
01.10.2024 13:00:00.000 UTC,1.1071,1.1083,1.10584,1.10708,31110.15
01.10.2024 14:00:00.000 UTC,1.10708,1.10868,1.10565,1.10764,38717.82
01.10.2024 15:00:00.000 UTC,1.10765,1.10778,1.10598,1.10662,20419.2
01.10.2024 16:00:00.000 UTC,1.10662,1.10715,1.10482,1.10543,15584.52
01.10.2024 17:00:00.000 UTC,1.10543,1.1065,1.10458,1.10621,20476.34
01.10.2024 18:00:00.000 UTC,1.10624,1.10721,1.10624,1.10715,10521.96
01.10.2024 19:00:00.000 UTC,1.10716,1.10773,1.10662,1.10675,10230.65
01.10.2024 20:00:00.000 UTC,1.10677,1.10727,1.10656,1.10675,5188.42
01.10.2024 21:00:00.000 UTC,1.10668,1.10708,1.10667,1.10684,918.77
01.10.2024 22:00:00.000 UTC,1.10683,1.10706,1.10669,1.10672,1610.1
01.10.2024 23:00:00.000 UTC,1.10671,1.10672,1.10634,1.10644,3221.8
02.10.2024 00:00:00.000 UTC,1.10645,1.10719,1.10633,1.10655,6714.42
02.10.2024 01:00:00.000 UTC,1.10656,1.10739,1.10656,1.10721,6477.46
02.10.2024 02:00:00.000 UTC,1.10721,1.1073,1.10634,1.10664,6522.63
02.10.2024 03:00:00.000 UTC,1.10664,1.10711,1.10639,1.10706,7629.04
02.10.2024 04:00:00.000 UTC,1.10706,1.10737,1.10603,1.10629,8003.51
02.10.2024 05:00:00.000 UTC,1.10629,1.10635,1.10541,1.10622,12533.38
02.10.2024 06:00:00.000 UTC,1.1062,1.10701,1.10599,1.10664,12771.29
02.10.2024 07:00:00.000 UTC,1.10667,1.10727,1.10632,1.10665,19042.07
02.10.2024 08:00:00.000 UTC,1.10664,1.10828,1.1064,1.10722,14679.13
02.10.2024 09:00:00.000 UTC,1.10723,1.10723,1.10612,1.10713,10614.77
02.10.2024 10:00:00.000 UTC,1.10713,1.10765,1.10664,1.10666,12637.09
02.10.2024 11:00:00.000 UTC,1.10668,1.10767,1.10646,1.10756,13586.12
02.10.2024 12:00:00.000 UTC,1.10755,1.10773,1.1051,1.10535,20942.83
02.10.2024 13:00:00.000 UTC,1.10537,1.10656,1.1047,1.10512,23005.61
02.10.2024 14:00:00.000 UTC,1.10511,1.10563,1.10353,1.10361,22757.63
02.10.2024 15:00:00.000 UTC,1.10361,1.10504,1.10325,1.10494,13883.91
02.10.2024 16:00:00.000 UTC,1.10495,1.10548,1.10436,1.10466,11596.05
