UTC,Open,High,Low,Close,Volume
01.10.2025 08:00:00.000 UTC,1.17497,1.17659,1.17492,1.17492,6945.23
01.10.2025 09:00:00.000 UTC,1.17493,1.1754,1.17306,1.17326,4769.88
01.10.2025 10:00:00.000 UTC,1.17326,1.17333,1.17157,1.17251,6196.74
01.10.2025 11:00:00.000 UTC,1.17252,1.17402,1.17251,1.17343,4110.27
01.10.2025 12:00:00.000 UTC,1.17343,1.17688,1.17222,1.17489,19008.74
01.10.2025 13:00:00.000 UTC,1.1749,1.17614,1.17459,1.17539,11469.34
01.10.2025 14:00:00.000 UTC,1.17539,1.17634,1.17309,1.17465,16291.68
01.10.2025 15:00:00.000 UTC,1.17463,1.17492,1.17212,1.17229,10777.5
01.10.2025 16:00:00.000 UTC,1.17228,1.17267,1.17154,1.17227,9278.3
01.10.2025 17:00:00.000 UTC,1.17228,1.17325,1.17227,1.17237,4893.34
01.10.2025 18:00:00.000 UTC,1.17238,1.17419,1.17215,1.17347,4199.37
01.10.2025 19:00:00.000 UTC,1.17347,1.17369,1.17296,1.17304,3279.05
01.10.2025 20:00:00.000 UTC,1.17303,1.1731,1.17261,1.17294,3040.09
01.10.2025 21:00:00.000 UTC,1.17268,1.17341,1.17268,1.17303,6454.238
01.10.2025 22:00:00.000 UTC,1.1731,1.17372,1.17309,1.17335,1163.83
01.10.2025 23:00:00.000 UTC,1.17336,1.17369,1.17327,1.17327,501.92
02.10.2025 00:00:00.000 UTC,1.17325,1.17348,1.17243,1.17298,2425.77
02.10.2025 01:00:00.000 UTC,1.17295,1.17389,1.17237,1.17386,1896.39
02.10.2025 02:00:00.000 UTC,1.17389,1.17418,1.17368,1.17371,1181.43
02.10.2025 03:00:00.000 UTC,1.17373,1.17386,1.17323,1.17346,1372.96
02.10.2025 04:00:00.000 UTC,1.17345,1.17357,1.17299,1.17341,1172.07
02.10.2025 05:00:00.000 UTC,1.17342,1.1737,1.17293,1.17354,1303
02.10.2025 06:00:00.000 UTC,1.17354,1.17448,1.17339,1.17426,5084.2
02.10.2025 07:00:00.000 UTC,1.17427,1.17566,1.17407,1.17498,5041.56
02.10.2025 08:00:00.000 UTC,1.17498,1.17567,1.1745,1.17535,4433.85
02.10.2025 09:00:00.000 UTC,1.17534,1.17582,1.17505,1.17547,3033.47
02.10.2025 10:00:00.000 UTC,1.17548,1.17548,1.17461,1.17519,2863.67
02.10.2025 11:00:00.000 UTC,1.17519,1.17566,1.17471,1.17502,3152.37
02.10.2025 12:00:00.000 UTC,1.17502,1.17583,1.17343,1.17375,4809.49
02.10.2025 13:00:00.000 UTC,1.1738,1.17437,1.17132,1.17222,8670.2
02.10.2025 14:00:00.000 UTC,1.17219,1.17219,1.1705,1.17134,10041.82
02.10.2025 15:00:00.000 UTC,1.17131,1.17133,1.16829,1.16965,7383.48
02.10.2025 16:00:00.000 UTC,1.16964,1.17149,1.16949,1.17148,10288.68
02.10.2025 17:00:00.000 UTC,1.17147,1.17203,1.17121,1.17134,3991.86
02.10.2025 18:00:00.000 UTC,1.17134,1.17222,1.17125,1.17209,3034.42
02.10.2025 19:00:00.000 UTC,1.17209,1.17265,1.17172,1.17187,2320.34
02.10.2025 20:00:00.000 UTC,1.17188,1.17241,1.17143,1.17154,2612.23
02.10.2025 21:00:00.000 UTC,1.17154,1.17186,1.1713,1.17169,1471.92
02.10.2025 22:00:00.000 UTC,1.17174,1.17208,1.17162,1.17188,667.51
02.10.2025 23:00:00.000 UTC,1.1719,1.17257,1.17184,1.17244,574.88
03.10.2025 00:00:00.000 UTC,1.17245,1.17245,1.17189,1.17241,1257.38
03.10.2025 01:00:00.000 UTC,1.17244,1.17292,1.17161,1.17268,2982.77
03.10.2025 02:00:00.000 UTC,1.17267,1.17277,1.17204,1.17246,1684.91
03.10.2025 03:00:00.000 UTC,1.17243,1.17268,1.17198,1.17262,1124.15
03.10.2025 04:00:00.000 UTC,1.17262,1.1728,1.17179,1.17179,1483.13
03.10.2025 05:00:00.000 UTC,1.17179,1.17213,1.17146,1.17169,2933.82
03.10.2025 06:00:00.000 UTC,1.17169,1.17289,1.1716,1.17203,2717.36
03.10.2025 07:00:00.000 UTC,1.17204,1.17342,1.17204,1.1732,4428.41
03.10.2025 08:00:00.000 UTC,1.1732,1.17444,1.17309,1.17399,4448.71
03.10.2025 09:00:00.000 UTC,1.17399,1.17406,1.17311,1.17371,4862.55
03.10.2025 10:00:00.000 UTC,1.17371,1.17397,1.17336,1.17362,3419.4
03.10.2025 11:00:00.000 UTC,1.17362,1.17428,1.17309,1.17336,4346.58
03.10.2025 12:00:00.000 UTC,1.17338,1.17407,1.17268,1.17393,4766.49
03.10.2025 13:00:00.000 UTC,1.17395,1.17444,1.17326,1.17377,5670.7
03.10.2025 14:00:00.000 UTC,1.17379,1.17591,1.1734,1.17407,17646.82
03.10.2025 15:00:00.000 UTC,1.17408,1.17487,1.17365,1.17459,4116.11
03.10.2025 16:00:00.000 UTC,1.17462,1.17483,1.17376,1.17396,2334.74
03.10.2025 17:00:00.000 UTC,1.17396,1.17415,1.17319,1.17337,2319.73
03.10.2025 18:00:00.000 UTC,1.17337,1.17401,1.17265,1.17396,2588.32
03.10.2025 19:00:00.000 UTC,1.17395,1.17422,1.1737,1.17409,1599.63
03.10.2025 20:00:00.000 UTC,1.17408,1.17443,1.17382,1.17382,2160.45
05.10.2025 21:00:00.000 UTC,1.17209,1.17275,1.17187,1.17256,537.47
05.10.2025 22:00:00.000 UTC,1.17256,1.17272,1.17156,1.1716,4296.77
05.10.2025 23:00:00.000 UTC,1.1716,1.17164,1.1706,1.17116,5415.4
06.10.2025 00:00:00.000 UTC,1.17121,1.17189,1.171,1.1716,4116.5
06.10.2025 01:00:00.000 UTC,1.17163,1.17249,1.17101,1.17239,2811.15
06.10.2025 02:00:00.000 UTC,1.17239,1.17307,1.17236,1.17269,1807.33
06.10.2025 03:00:00.000 UTC,1.17269,1.173,1.17233,1.17242,1634.81
06.10.2025 04:00:00.000 UTC,1.17243,1.17273,1.17194,1.17201,2529.89
06.10.2025 05:00:00.000 UTC,1.172,1.17253,1.1714,1.1717,2055.45
06.10.2025 06:00:00.000 UTC,1.17172,1.17196,1.16901,1.16936,5780.33
06.10.2025 07:00:00.000 UTC,1.16936,1.17119,1.16621,1.16625,12243.21
06.10.2025 08:00:00.000 UTC,1.16626,1.16796,1.16516,1.16677,12880.86
06.10.2025 09:00:00.000 UTC,1.16675,1.16696,1.1657,1.16661,14911.04
06.10.2025 10:00:00.000 UTC,1.16662,1.16668,1.16525,1.16632,9741.08
06.10.2025 11:00:00.000 UTC,1.16632,1.16788,1.16574,1.16753,6924.69
06.10.2025 12:00:00.000 UTC,1.16751,1.16895,1.16728,1.16889,14123.4
06.10.2025 13:00:00.000 UTC,1.16891,1.17027,1.16836,1.16994,6697.03
06.10.2025 14:00:00.000 UTC,1.16993,1.17177,1.1695,1.17164,7004.3
06.10.2025 15:00:00.000 UTC,1.17164,1.17211,1.17029,1.17063,4708.41
06.10.2025 16:00:00.000 UTC,1.17066,1.17121,1.17029,1.17118,2589.23
06.10.2025 17:00:00.000 UTC,1.17118,1.17158,1.17096,1.17103,1881.92
06.10.2025 18:00:00.000 UTC,1.17101,1.17157,1.17093,1.17125,1678.55
06.10.2025 19:00:00.000 UTC,1.17126,1.17168,1.171,1.17106,1567.16
06.10.2025 20:00:00.000 UTC,1.17105,1.17138,1.17082,1.17104,1949.74
06.10.2025 21:00:00.000 UTC,1.17104,1.17144,1.1706,1.17085,1182.87
06.10.2025 22:00:00.000 UTC,1.17084,1.17144,1.17083,1.17095,2444.18
06.10.2025 23:00:00.000 UTC,1.17097,1.17142,1.17082,1.17092,1140.75
07.10.2025 00:00:00.000 UTC,1.17093,1.1711,1.1704,1.17085,2475.27
07.10.2025 01:00:00.000 UTC,1.17087,1.17087,1.16963,1.16967,1895.88
07.10.2025 02:00:00.000 UTC,1.16966,1.17057,1.16966,1.17014,1312.59
07.10.2025 03:00:00.000 UTC,1.17016,1.17069,1.16994,1.1703,1475.9
07.10.2025 04:00:00.000 UTC,1.1703,1.17072,1.16943,1.16983,2083.21
